participantId,familiarity_raw,evaluation_raw,university,familiarity_num,participant_mean_rating,evaluation_centered,heard_binary
204B41ECB5F84D2C8812CCA7C0ABD0ED,I have never heard of this university,61,KTH Royal Institute of Technology,0.0,51.7,9.299999999999997,Never heard
1B7CB68BEA6643B4B5C93CAAC59B1B85,I have never heard of this university,6,KTH Royal Institute of Technology,0.0,11.2,-5.199999999999999,Never heard
DD2206E20B5F43EBB14E45E033A403E9,"I have heard of it, but I am not familiar with it",29,KTH Royal Institute of Technology,0.33,29.35,-0.3500000000000014,Heard
4262AFB86C594D08B28F0F91D674E4EB,I have never heard of this university,51,KTH Royal Institute of Technology,0.0,42.55,8.450000000000003,Never heard
A55A273E95E740CF987A0746A8D05865,I have never heard of this university,74,KTH Royal Institute of Technology,0.0,59.9,14.100000000000001,Never heard
BA46C89FF6D74BBD8CBE20E7D403DFC1,I have never heard of this university,0,Karlsruhe Institute of Technology,0.0,10.3,-10.3,Never heard
DDF654B04475461CAA83D9BFD3636F52,I have never heard of this university,25,Karlsruhe Institute of Technology,0.0,43.85,-18.85,Never heard
8C7EAE2BB6894644BB2220D74032427A,I have never heard of this university,51,Karlsruhe Institute of Technology,0.0,71.15,-20.150000000000006,Never heard
0DD374C49EDD48B0A934A11EB3F114A0,I have never heard of this university,70,Karlsruhe Institute of Technology,0.0,68.4,1.5999999999999943,Never heard
A53D15311E1A4E7BB8D9FDD5135514FC,I have never heard of this university,23,Karlsruhe Institute of Technology,0.0,35.8,-12.799999999999997,Never heard
08FA9BA3F2E34DE29AD38FC493DDA89A,I have never heard of this university,50,Karlsruhe Institute of Technology,0.0,50.05,-0.04999999999999716,Never heard
68DC5E6A091E45CD956DF8AB911197F6,I have never heard of this university,70,Karlsruhe Institute of Technology,0.0,53.45,16.549999999999997,Never heard
06F824C0E70043649B07F6BAA528B658,I have never heard of this university,19,Karlsruhe Institute of Technology,0.0,21.25,-2.25,Never heard
44FFB8F0481344DBACD4C9619DEF7E26,I have never heard of this university,50,Karlsruhe Institute of Technology,0.0,59.7,-9.700000000000003,Never heard
32CF00ADB1FB42ABA6ECDFD8C63BF3F7,I have never heard of this university,51,Karlsruhe Institute of Technology,0.0,42.25,8.75,Never heard
BD4E57AB370D4528A3DF938AE8F27B01,I have never heard of this university,91,Karlsruhe Institute of Technology,0.0,90.95,0.04999999999999716,Never heard
6AC71943F1C544D1B30EB1036D21CA0D,I have never heard of this university,55,Karlsruhe Institute of Technology,0.0,59.85,-4.850000000000001,Never heard
8E6F027C1F914BEEB26C9D5E528BE427,I have never heard of this university,30,Karlsruhe Institute of Technology,0.0,41.85,-11.850000000000001,Never heard
012B4E05E38645C787ADD8FC4C076D2F,I have never heard of this university,77,Karlsruhe Institute of Technology,0.0,43.0,34.0,Never heard
F861EB444C1E4E5E8DFBDC8BE8DA8220,I have never heard of this university,23,Karlsruhe Institute of Technology,0.0,28.1,-5.100000000000001,Never heard
8E3466454A314C85BB25FB2C97A4B0D7,I have never heard of this university,58,Karlsruhe Institute of Technology,0.0,60.0,-2.0,Never heard
3D7D72CEA1F6413D961CE185176CE502,"I have heard of it, but I am not familiar with it",73,Karlsruhe Institute of Technology,0.33,65.05,7.950000000000003,Heard
ED3568FECEB9427CAEEF86F3460C6B8A,I have never heard of this university,76,Karlsruhe Institute of Technology,0.0,79.0,-3.0,Never heard
0A79EE9ED56E4610A3DDC4838DD31548,I have never heard of this university,90,Karlsruhe Institute of Technology,0.0,79.0,11.0,Never heard
